DATADECADASTRO;QTDE
2019-01-03;48
2019-01-04;27
2019-01-05;1
2019-01-07;51
2019-01-08;57
2019-01-09;138
2019-01-10;66
2019-01-11;100
2019-01-14;73
2019-01-15;82
2019-01-16;84
2019-01-17;83
2019-01-18;61
2019-01-19;8
2019-01-20;2
2019-01-21;98
2019-01-22;129
2019-01-23;129
2019-01-24;86
2019-01-25;89
2019-01-28;56
2019-01-29;94
2019-01-30;76
2019-01-31;63
2019-02-01;46
2019-02-02;4
2019-02-04;66
2019-02-05;120
2019-02-06;103
2019-02-07;78
2019-02-08;103
2019-02-11;94
2019-02-12;119
2019-02-13;138
2019-02-14;98
2019-02-15;94
2019-02-18;55
2019-02-19;131
2019-02-20;133
2019-02-21;102
2019-02-22;90
2019-02-23;3
2019-02-25;121
2019-02-26;140
2019-02-27;147
2019-02-28;107
2019-03-01;39
2019-03-02;8
2019-03-04;2
2019-03-06;8
2019-03-07;49
2019-03-08;59
2019-03-10;18
2019-03-11;111
2019-03-12;138
2019-03-13;149
2019-03-14;154
2019-03-15;83
2019-03-18;114
2019-03-19;140
2019-03-20;140
2019-03-21;125
2019-03-22;100
2019-03-23;3
2019-03-25;144
2019-03-26;124
2019-03-27;134
2019-03-28;122
2019-03-29;95
2019-03-30;5
2019-03-31;2
2019-04-01;88
2019-04-02;154
2019-04-03;209
2019-04-04;94
2019-04-05;112
2019-04-07;6
2019-04-08;115
2019-04-09;141
2019-04-10;138
2019-04-11;157
2019-04-12;74
2019-04-13;14
2019-04-15;149
2019-04-16;167
2019-04-17;95
2019-04-18;28
2019-04-20;10
2019-04-22;119
2019-04-23;132
2019-04-24;170
2019-04-25;143
2019-04-26;140
2019-04-27;4
2019-04-29;156
2019-04-30;123
2019-05-01;11
2019-05-02;133
2019-05-03;82
2019-05-04;3
2019-05-06;135
2019-05-07;137
2019-05-08;216
2019-05-09;159
2019-05-10;77
2019-05-13;100
2019-05-14;159
2019-05-15;132
2019-05-16;145
2019-05-17;82
2019-05-19;9
2019-05-20;126
2019-05-21;162
2019-05-22;119
2019-05-23;123
2019-05-24;88
2019-05-25;1
2019-05-26;1
2019-05-27;93
2019-05-28;152
2019-05-29;186
2019-05-30;133
2019-05-31;63
2019-06-01;1
2019-06-03;108
2019-06-04;152
2019-06-05;145
2019-06-06;162
2019-06-07;80
2019-06-10;137
2019-06-11;206
2019-06-12;125
2019-06-13;89
2019-06-14;54
2019-06-16;3
2019-06-17;118
2019-06-18;193
2019-06-19;93
2019-06-20;1
2019-06-21;3
2019-06-24;3
2019-06-25;65
2019-06-26;120
2019-06-27;132
2019-06-28;83
2019-06-29;7
2019-07-01;48
2019-07-02;1
2019-07-03;108
2019-07-04;184
2019-07-05;110
2019-07-07;6
2019-07-08;105
2019-07-09;149
2019-07-10;161
2019-07-11;181
2019-07-12;117
2019-07-14;1
2019-07-15;181
2019-07-16;158
2019-07-17;197
2019-07-18;183
2019-07-19;161
2019-07-22;174
2019-07-23;179
2019-07-24;188
2019-07-25;203
2019-07-26;106
2019-07-27;7
2019-07-29;140
2019-07-30;189
2019-07-31;213
2019-08-01;184
2019-08-02;124
2019-08-05;152
2019-08-06;222
2019-08-07;141
2019-08-08;181
2019-08-09;108
2019-08-12;193
2019-08-13;186
2019-08-14;225
2019-08-15;116
2019-08-16;154
2019-08-17;1
2019-08-19;123
2019-08-20;289
2019-08-21;253
2019-08-22;166
2019-08-23;120
2019-08-26;165
2019-08-27;190
2019-08-28;170
2019-08-29;237
2019-08-30;91
2019-09-01;3
2019-09-02;153
2019-09-03;218
2019-09-04;204
2019-09-05;188
2019-09-06;174
2019-09-07;3
2019-09-09;188
2019-09-10;211
2019-09-11;237
2019-09-12;220
2019-09-13;130
2019-09-14;3
2019-09-16;203
2019-09-17;228
2019-09-18;210
2019-09-19;226
2019-09-20;136
2019-09-21;8
2019-09-23;139
2019-09-24;213
2019-09-25;220
2019-09-26;209
2019-09-27;124
2019-09-30;143
2019-10-01;186
2019-10-02;174
2019-10-03;158
2019-10-04;164
2019-10-07;159
2019-10-08;250
2019-10-09;213
2019-10-10;162
2019-10-11;97
2019-10-14;180
2019-10-15;216
2019-10-16;188
2019-10-17;216
2019-10-18;123
2019-10-19;1
2019-10-20;2
2019-10-21;124
2019-10-22;191
2019-10-23;257
2019-10-24;214
2019-10-25;128
2019-10-26;1
2019-10-27;11
2019-10-28;8
2019-10-29;193
2019-10-30;183
2019-10-31;144
2019-11-01;102
2019-11-02;7
2019-11-04;177
2019-11-05;185
2019-11-06;215
2019-11-07;166
2019-11-08;175
2019-11-09;22
2019-11-11;166
2019-11-12;293
2019-11-13;177
2019-11-14;138
2019-11-15;4
2019-11-17;6
2019-11-18;153
2019-11-19;200
2019-11-20;186
2019-11-21;238
2019-11-22;114
2019-11-23;2
2019-11-25;130
2019-11-26;218
2019-11-27;174
2019-11-28;180
2019-11-29;116
2019-11-30;10
2019-12-01;1
2019-12-02;180
2019-12-03;157
2019-12-04;145
2019-12-05;178
2019-12-06;111
2019-12-08;8
2019-12-09;148
2019-12-10;262
2019-12-11;185
2019-12-12;163
2019-12-13;129
2019-12-14;5
2019-12-15;5
2019-12-16;201
2019-12-17;187
2019-12-18;131
2019-12-19;178
2019-12-20;104
2019-12-21;12
2019-12-22;5
2019-12-23;46
2019-12-24;1
2019-12-26;17
2019-12-27;38
2019-12-30;2
2019-12-31;2
2020-01-02;98
2020-01-03;73
2020-01-04;9
2020-01-06;82
2020-01-07;126
2020-01-08;141
2020-01-09;185
2020-01-10;82
2020-01-11;6
2020-01-12;1
2020-01-13;154
2020-01-14;195
2020-01-15;168
2020-01-16;150
2020-01-17;151
2020-01-18;4
2020-01-20;103
2020-01-21;142
2020-01-22;171
2020-01-23;146
2020-01-24;104
2020-01-25;18
2020-01-26;2
2020-01-27;154
2020-01-28;182
2020-01-29;190
2020-01-30;166
2020-01-31;109
2020-02-03;95
2020-02-04;175
2020-02-05;154
2020-02-06;211
2020-02-07;128
2020-02-09;3
2020-02-10;171
2020-02-11;204
2020-02-12;265
2020-02-13;240
2020-02-14;123
2020-02-15;13
2020-02-17;178
2020-02-18;265
2020-02-19;199
2020-02-20;154
2020-02-21;66
2020-02-23;3
2020-02-24;10
2020-02-26;18
2020-02-27;90
2020-02-28;119
2020-03-01;7
2020-03-02;182
2020-03-03;156
2020-03-04;130
2020-03-05;160
2020-03-06;114
2020-03-07;11
2020-03-09;141
2020-03-10;125
2020-03-11;119
2020-03-12;158
2020-03-13;87
2020-03-14;2
2020-03-15;5
2020-03-16;125
2020-03-17;155
2020-03-18;109
2020-03-19;60
2020-03-20;46
2020-03-21;3
2020-03-23;83
2020-03-24;46
2020-03-25;30
2020-03-26;47
2020-03-27;21
2020-03-29;2
2020-03-30;88
2020-03-31;66
2020-04-01;35
2020-04-02;50
2020-04-03;35
2020-04-04;1
2020-04-05;1
2020-04-06;43
2020-04-07;78
2020-04-08;42
2020-04-09;21
2020-04-12;1
2020-04-13;65
2020-04-14;81
2020-04-15;91
2020-04-16;131
2020-04-17;74
2020-04-20;111
2020-04-21;6
2020-04-22;118
2020-04-23;149
2020-04-24;110
2020-04-25;2
2020-04-26;3
2020-04-27;91
2020-04-28;164
2020-04-29;161
2020-04-30;94
2020-05-02;1
2020-05-03;20
2020-05-04;195
2020-05-05;94
2020-05-06;113
2020-05-07;127
2020-05-08;107
2020-05-09;4
2020-05-10;1
2020-05-11;151
2020-05-12;165
2020-05-13;169
2020-05-14;116
2020-05-15;85
2020-05-17;8
2020-05-18;137
2020-05-19;103
2020-05-20;115
2020-05-21;126
2020-05-22;94
2020-05-23;1
2020-05-24;1
2020-05-25;51
2020-05-26;64
2020-05-27;117
2020-05-28;170
2020-05-29;125
2020-05-31;15
2020-06-01;132
2020-06-02;111
2020-06-03;129
2020-06-04;114
2020-06-05;118
2020-06-06;3
2020-06-07;1
2020-06-08;176
2020-06-09;186
2020-06-10;129
2020-06-11;26
2020-06-12;115
2020-06-13;5
2020-06-14;6
2020-06-15;116
2020-06-16;93
2020-06-17;148
2020-06-18;126
2020-06-19;76
2020-06-20;2
2020-06-21;5
2020-06-22;109
2020-06-23;116
2020-06-24;48
2020-06-25;83
2020-06-26;83
2020-06-27;5
2020-06-29;93
2020-06-30;110
2020-07-01;127
2020-07-02;98
2020-07-03;82
2020-07-04;4
2020-07-06;126
2020-07-07;140
2020-07-08;158
2020-07-09;154
2020-07-10;95
2020-07-11;1
2020-07-12;1
2020-07-13;172
2020-07-14;158
2020-07-15;116
2020-07-16;154
2020-07-17;51
2020-07-19;1
2020-07-20;104
2020-07-21;142
2020-07-22;120
2020-07-23;116
2020-07-24;70
2020-07-27;141
2020-07-28;144
2020-07-29;103
2020-07-30;144
2020-07-31;87
2020-08-01;1
2020-08-03;114
2020-08-04;189
2020-08-05;91
2020-08-06;135
2020-08-07;54
2020-08-08;7
2020-08-09;3
2020-08-10;122
2020-08-11;211
2020-08-12;83
2020-08-13;186
2020-08-14;83
2020-08-17;98
2020-08-18;178
2020-08-19;109
2020-08-20;172
2020-08-21;106
2020-08-24;131
2020-08-25;184
2020-08-26;94
2020-08-27;134
2020-08-28;132
2020-08-31;150
2020-09-01;145
2020-09-02;130
2020-09-03;149
2020-09-04;93
2020-09-07;3
2020-09-08;142
2020-09-09;130
2020-09-10;150
2020-09-11;108
2020-09-13;1
2020-09-14;191
2020-09-15;197
2020-09-16;150
2020-09-17;141
2020-09-18;98
2020-09-19;1
2020-09-21;186
2020-09-22;176
2020-09-23;215
2020-09-24;150
2020-09-25;99
2020-09-26;3
2020-09-28;133
2020-09-29;160
2020-09-30;193
2020-10-01;175
2020-10-02;108
2020-10-03;3
2020-10-05;152
2020-10-06;130
2020-10-07;211
2020-10-08;174
2020-10-09;73
2020-10-13;167
2020-10-14;159
2020-10-15;116
2020-10-16;136
2020-10-17;10
2020-10-19;135
2020-10-20;104
2020-10-21;183
2020-10-22;185
2020-10-23;125
2020-10-24;14
2020-10-25;1
2020-10-26;124
2020-10-27;171
2020-10-28;137
2020-10-29;129
2020-10-30;49
2020-11-02;2
2020-11-03;153
2020-11-04;207
2020-11-05;113
2020-11-06;78
2020-11-08;2
2020-11-09;142
2020-11-10;198
2020-11-11;177
2020-11-12;198
2020-11-13;107
2020-11-14;6
2020-11-15;3
2020-11-16;102
2020-11-17;140
2020-11-18;187
2020-11-19;192
2020-11-20;82
2020-11-21;28
2020-11-23;105
2020-11-24;204
2020-11-25;146
2020-11-26;136
2020-11-27;97
2020-11-29;10
2020-11-30;129
2020-12-01;125
2020-12-02;136
2020-12-03;138
2020-12-04;115
2020-12-05;20
2020-12-06;13
2020-12-07;174
2020-12-08;118
2020-12-09;184
2020-12-10;192
2020-12-11;118
2020-12-12;8
2020-12-13;2
2020-12-14;104
2020-12-15;171
2020-12-16;173
2020-12-17;254
2020-12-18;78
2020-12-19;1
2020-12-20;63
2020-12-21;81
2020-12-22;111
2020-12-23;46
2020-12-24;5
2020-12-26;1
2020-12-27;32
2020-12-28;52
2020-12-29;52
2020-12-30;40
2020-12-31;4
2021-01-04;47
2021-01-05;62
2021-01-06;95
2021-01-07;91
2021-01-08;79
2021-01-11;86
2021-01-12;86
2021-01-13;163
2021-01-14;130
2021-01-15;58
2021-01-18;106
2021-01-19;166
2021-01-20;124
2021-01-21;185
2021-01-22;106
2021-01-24;2
2021-01-25;150
2021-01-26;123
2021-01-27;197
2021-01-28;152
2021-01-29;94
2021-01-30;3
2021-02-01;164
2021-02-02;180
2021-02-03;166
2021-02-04;150
2021-02-05;98
2021-02-07;25
2021-02-08;105
2021-02-09;172
2021-02-10;202
2021-02-11;215
2021-02-12;117
2021-02-13;5
2021-02-14;2
2021-02-15;82
2021-02-16;63
2021-02-17;123
2021-02-18;154
2021-02-19;124
2021-02-22;193
2021-02-23;205
2021-02-24;177
2021-02-25;293
2021-02-26;123
2021-02-27;26
2021-03-01;191
2021-03-02;140
2021-03-03;131
2021-03-04;164
2021-03-05;142
2021-03-06;3
2021-03-07;3
2021-03-08;159
2021-03-09;162
2021-03-10;206
2021-03-11;224
2021-03-12;122
2021-03-13;6
2021-03-15;183
2021-03-16;178
2021-03-17;211
2021-03-18;191
2021-03-19;120
2021-03-20;10
2021-03-21;5
2021-03-22;133
2021-03-23;182
2021-03-24;168
2021-03-25;213
2021-03-26;122
2021-03-27;8
2021-03-29;149
2021-03-30;226
2021-03-31;142
2021-04-01;86
2021-04-02;3
2021-04-03;28
2021-04-04;1
2021-04-05;151
2021-04-06;172
2021-04-07;142
2021-04-08;216
2021-04-09;87
2021-04-10;7
2021-04-11;34
2021-04-12;156
2021-04-13;219
2021-04-14;154
2021-04-15;214
2021-04-16;130
2021-04-17;1
2021-04-18;8
2021-04-19;168
2021-04-20;198
2021-04-21;24
2021-04-22;195
2021-04-23;125
2021-04-24;1
2021-04-25;4
2021-04-26;187
2021-04-27;226
2021-04-28;214
2021-04-29;202
2021-04-30;83
2021-05-01;3
2021-05-02;8
2021-05-03;123
2021-05-04;154
2021-05-05;199
2021-05-06;218
2021-05-07;106
2021-05-08;37
2021-05-09;7
2021-05-10;170
2021-05-11;210
2021-05-12;202
2021-05-13;210
2021-05-14;167
2021-05-15;2
2021-05-16;1
2021-05-17;163
2021-05-18;202
2021-05-19;201
2021-05-20;195
2021-05-21;122
2021-05-22;8
2021-05-23;1
2021-05-24;154
2021-05-25;241
2021-05-26;160
2021-05-27;213
2021-05-28;104
2021-05-29;17
2021-05-30;7
2021-05-31;157
2021-06-01;196
2021-06-02;119
2021-06-03;31
2021-06-04;50
2021-06-05;5
2021-06-06;5
2021-06-07;158
2021-06-08;191
2021-06-09;170
2021-06-10;200
2021-06-11;125
2021-06-12;2
2021-06-13;59
2021-06-14;205
2021-06-15;201
2021-06-16;187
2021-06-17;232
2021-06-18;135
2021-06-19;10
2021-06-20;34
2021-06-21;169
2021-06-22;201
2021-06-23;104
2021-06-24;20
2021-06-25;19
2021-06-26;11
2021-06-27;3
2021-06-28;165
2021-06-29;224
2021-06-30;115
2021-07-01;152
2021-07-02;8
2021-07-04;3
2021-07-05;146
2021-07-06;183
2021-07-07;189
2021-07-08;252
2021-07-09;79
2021-07-10;1
2021-07-12;109
2021-07-13;224
2021-07-14;169
2021-07-15;199
2021-07-16;115
2021-07-17;14
2021-07-19;174
2021-07-20;226
2021-07-21;236
2021-07-22;210
2021-07-23;134
2021-07-25;1
2021-07-26;200
2021-07-27;176
2021-07-28;186
2021-07-29;184
2021-07-30;101
2021-07-31;6
2021-08-01;13
2021-08-02;186
2021-08-03;184
2021-08-04;226
2021-08-05;181
2021-08-06;106
2021-08-07;8
2021-08-08;5
2021-08-09;161
2021-08-10;255
2021-08-11;226
2021-08-12;197
2021-08-13;125
2021-08-14;5
2021-08-15;22
2021-08-16;182
2021-08-17;181
2021-08-18;193
2021-08-19;196
2021-08-20;109
2021-08-21;14
2021-08-23;137
2021-08-24;212
2021-08-25;168
2021-08-26;212
2021-08-27;120
2021-08-28;5
2021-08-29;14
2021-08-30;157
2021-08-31;166
2021-09-01;214
2021-09-02;170
2021-09-03;91
2021-09-05;6
2021-09-06;49
2021-09-07;3
2021-09-08;158
2021-09-09;190
2021-09-10;152
2021-09-11;1
2021-09-13;174
2021-09-14;219
2021-09-15;188
2021-09-16;185
2021-09-17;115
2021-09-18;12
2021-09-20;208
2021-09-21;211
2021-09-22;181
2021-09-23;172
2021-09-24;167
2021-09-25;9
2021-09-26;10
2021-09-27;203
2021-09-28;184
2021-09-29;215
2021-09-30;143
2021-10-01;101
2021-10-02;11
2021-10-03;13
2021-10-04;190
2021-10-05;176
2021-10-06;209
2021-10-07;218
2021-10-08;118
2021-10-10;3
2021-10-11;35
2021-10-12;24
2021-10-13;214
2021-10-14;186
2021-10-15;112
2021-10-16;3
2021-10-18;193
2021-10-19;285
2021-10-20;194
2021-10-21;226
2021-10-22;118
2021-10-23;3
2021-10-24;49
2021-10-25;176
2021-10-26;159
2021-10-27;182
2021-10-28;160
2021-10-29;102
2021-10-30;1
2021-10-31;7
2021-11-01;14
2021-11-02;28
2021-11-03;169
2021-11-04;185
2021-11-05;106
2021-11-06;6
2021-11-07;11
2021-11-08;193
2021-11-09;191
2021-11-10;200
2021-11-11;246
2021-11-12;139
2021-11-13;12
2021-11-14;9
2021-11-15;14
2021-11-16;141
2021-11-17;193
2021-11-18;197
2021-11-19;127
2021-11-20;18
2021-11-21;28
2021-11-22;200
2021-11-23;208
2021-11-24;245
2021-11-25;235
2021-11-26;112
2021-11-27;2
2021-11-28;23
2021-11-29;165
2021-11-30;174
2021-12-01;241
2021-12-02;224
2021-12-03;110
2021-12-04;6
2021-12-05;45
2021-12-06;164
2021-12-07;160
2021-12-08;185
2021-12-09;163
2021-12-10;103
2021-12-11;31
2021-12-12;16
2021-12-13;168
2021-12-14;191
2021-12-15;198
2021-12-16;198
2021-12-17;73
2021-12-18;1
2021-12-19;9
2021-12-20;212
2021-12-21;138
2021-12-22;113
2021-12-23;44
2021-12-24;1
2021-12-26;20
2021-12-27;57
2021-12-28;64
2021-12-29;72
2021-12-30;26
2021-12-31;4
2022-01-02;9
2022-01-03;121
2022-01-04;102
2022-01-05;112
2022-01-06;138
2022-01-07;81
2022-01-08;4
2022-01-09;11
2022-01-10;146
2022-01-11;163
2022-01-12;194
2022-01-13;168
2022-01-14;112
2022-01-16;11
2022-01-17;173
2022-01-18;211
2022-01-19;154
2022-01-20;159
2022-01-21;90
2022-01-23;9
2022-01-24;139
2022-01-25;183
2022-01-26;193
2022-01-27;228
2022-01-28;84
2022-01-29;13
2022-01-30;29
2022-01-31;155
2022-02-01;208
2022-02-02;162
2022-02-03;168
2022-02-04;90
2022-02-05;4
2022-02-06;12
2022-02-07;197
2022-02-08;195
2022-02-09;165
2022-02-10;177
2022-02-11;95
2022-02-12;1
2022-02-13;31
2022-02-14;158
2022-02-15;222
2022-02-16;225
2022-02-17;219
2022-02-18;152
2022-02-19;4
2022-02-20;13
2022-02-21;188
2022-02-22;210
2022-02-23;194
2022-02-24;208
2022-02-25;130
2022-02-26;1
2022-02-27;3
2022-02-28;58
2022-03-01;39
2022-03-02;89
2022-03-03;156
2022-03-04;97
2022-03-07;140
2022-03-08;213
2022-03-09;151
2022-03-10;256
2022-03-11;125
2022-03-12;9
2022-03-13;5
2022-03-14;210
2022-03-15;253
2022-03-16;174
2022-03-17;209
2022-03-18;111
2022-03-19;2
2022-03-20;24
2022-03-21;176
2022-03-22;192
2022-03-23;275
2022-03-24;214
2022-03-25;138
2022-03-26;2
2022-03-27;6
2022-03-28;200
2022-03-29;231
2022-03-30;198
2022-03-31;190
2022-04-01;108
2022-04-02;13
2022-04-03;29
2022-04-04;198
2022-04-05;167
2022-04-06;161
2022-04-07;202
2022-04-08;114
2022-04-09;1
2022-04-10;17
2022-04-11;225
2022-04-12;190
2022-04-13;182
2022-04-14;78
2022-04-15;1
2022-04-18;196
2022-04-19;223
2022-04-20;187
2022-04-21;7
2022-04-22;38
2022-04-23;1
2022-04-24;1
2022-04-25;194
2022-04-26;165
2022-04-27;194
2022-04-28;209
2022-04-29;132
2022-04-30;20
2022-05-01;4
2022-05-02;215
2022-05-03;211
2022-05-04;212
2022-05-05;243
2022-05-06;141
2022-05-07;1
2022-05-08;4
2022-05-09;203
2022-05-10;268
2022-05-11;277
2022-05-12;238
2022-05-13;112
2022-05-15;11
2022-05-16;232
2022-05-17;186
2022-05-18;161
2022-05-19;209
2022-05-20;103
2022-05-22;1
2022-05-23;208
2022-05-24;185
2022-05-25;188
2022-05-26;115
2022-05-27;99
2022-05-28;1
2022-05-29;6
2022-05-30;194
2022-05-31;182
2022-06-01;163
2022-06-02;145
2022-06-03;87
2022-06-04;9
2022-06-06;132
2022-06-07;144
2022-06-08;122
2022-06-09;231
2022-06-10;99
2022-06-12;1
2022-06-13;142
2022-06-14;218
2022-06-15;131
2022-06-16;4
2022-06-17;46
2022-06-18;1
2022-06-20;143
2022-06-21;121
2022-06-22;86
2022-06-23;1
2022-06-26;10
2022-06-27;79
2022-06-28;112
2022-06-29;110
2022-06-30;76
2022-07-01;79
2022-07-02;3
2022-07-04;111
2022-07-05;158
2022-07-06;119
2022-07-07;128
2022-07-08;92
2022-07-10;18
2022-07-11;129
2022-07-12;164
2022-07-13;121
2022-07-14;141
2022-07-15;101
2022-07-17;22
2022-07-18;106
2022-07-19;156
2022-07-20;145
2022-07-21;99
2022-07-22;50
2022-07-25;109
2022-07-26;142
2022-07-27;115
2022-07-28;105
2022-07-29;47
2022-08-01;91
2022-08-02;80
2022-08-03;70
2022-08-04;83
2022-08-05;36
2022-08-08;2
2022-08-09;14
2022-08-10;1
2022-08-12;2
2022-08-15;1
2022-08-18;1
2022-08-22;5
2022-08-23;19
2022-08-24;13
2022-08-25;7
2022-08-26;2
2022-08-29;11
2023-01-04;1
